Open Contracting ID,Entrega compilada:ID de Entrega,Entrega compilada:Contratos:ID del Contrato,Entrega compilada:Contratos:ID de Adjudicación,Entrega compilada:Contratos:Título del contrato,Entrega compilada:Contratos:Descripción del contrato,Entrega compilada:Contratos:Periodo:Fecha de inicio,Entrega compilada:Contratos:Periodo:Fecha de fin,Entrega compilada:Contratos:Periodo:Duración (días),Entrega compilada:Contratos:Valor:Monto,Entrega compilada:Contratos:Valor:Moneda,Entrega compilada:Contratos:Valor:Nombre de Moneda,Entrega compilada:Contratos:Fecha de firma,Entrega compilada:Contratos:Implementación:Fecha de fin,Entrega compilada:Contratos:Implementación:Valor final:Monto,Entrega compilada:Contratos:Implementación:Valor final:Moneda,Entrega compilada:Contratos:Implementación:Valor final:Nombre de Moneda
ocds-dgv273-seacev3-1118047,ocds-dgv273-seacev3-1118047-2025-05-27T17:25:44.709321-05:00,2326823,1118047-10435735377,32,"ADQUISICIÓN DE MAÍZ AMILÁCEO VARIEDAD PARO CATEGORÍA SEGUNDA, TRIGO PELADO, MORÓN TOSTADO PARTIDO, HABA ENTERA SECA, QUINUA NATURAL, ARVEJA PARTIDA CALIDAD 2 SUPERIOR PARA EL PROGRAMA DE COMPLEMENTACIÓN ALIMENTARIA Y PANTBC DE LA MUNICIPALIDAD PROVINCIAL DE HUANCAYO PARA EL AÑO 2025",2025-05-16T00:00:00-05:00,2025-12-26T00:00:00-05:00,224,129797.08,PEN,Soles,2025-05-16T00:00:00-05:00,,,,
ocds-dgv273-seacev3-1118047,ocds-dgv273-seacev3-1118047-2025-05-27T17:25:44.709321-05:00,2326831,1118047-10198771215,36,"ADQUISICIÓN DE MAÍZ AMILÁCEO VARIEDAD PARO CATEGORÍA SEGUNDA, TRIGO PELADO, MORÓN TOSTADO PARTIDO, HABA ENTERA SECA, QUINUA NATURAL, ARVEJA PARTIDA CALIDAD 2 SUPERIOR PARA EL PROGRAMA DE COMPLEMENTACIÓN ALIMENTARIA Y PANTBC DE LA MUNICIPALIDAD PROVINCIAL DE HUANCAYO PARA EL AÑO 2025",2025-05-16T00:00:00-05:00,2025-11-28T00:00:00-05:00,196,48452.0,PEN,Soles,2025-05-16T00:00:00-05:00,,,,
ocds-dgv273-seacev3-1118047,ocds-dgv273-seacev3-1118047-2025-05-27T17:25:44.709321-05:00,2326820,1118047-10198363516,29,"ADQUISICIÓN DE MAÍZ AMILÁCEO VARIEDAD PARO CATEGORÍA SEGUNDA, TRIGO PELADO, MORÓN TOSTADO PARTIDO, HABA ENTERA SECA, QUINUA NATURAL, ARVEJA PARTIDA CALIDAD 2 SUPERIOR PARA EL PROGRAMA DE COMPLEMENTACIÓN ALIMENTARIA Y PANTBC DE LA MUNICIPALIDAD PROVINCIAL DE HUANCAYO PARA EL AÑO 2025",2025-05-16T00:00:00-05:00,2025-11-28T00:00:00-05:00,196,61859.0,PEN,Soles,2025-05-16T00:00:00-05:00,,,,
ocds-dgv273-seacev3-1118047,ocds-dgv273-seacev3-1118047-2025-05-27T17:25:44.709321-05:00,2326835,1118047-10206577881,40,"ADQUISICIÓN DE MAÍZ AMILÁCEO VARIEDAD PARO CATEGORÍA SEGUNDA, TRIGO PELADO, MORÓN TOSTADO PARTIDO, HABA ENTERA SECA, QUINUA NATURAL, ARVEJA PARTIDA CALIDAD 2 SUPERIOR PARA EL PROGRAMA DE COMPLEMENTACIÓN ALIMENTARIA Y PANTBC DE LA MUNICIPALIDAD PROVINCIAL DE HUANCAYO PARA EL AÑO 2025",2025-05-16T00:00:00-05:00,2025-11-28T00:00:00-05:00,196,38932.8,PEN,Soles,2025-05-16T00:00:00-05:00,,,,
ocds-dgv273-seacev3-1118047,ocds-dgv273-seacev3-1118047-2025-05-27T17:25:44.709321-05:00,2326819,1118047-10422194008,28,"ADQUISICIÓN DE MAÍZ AMILÁCEO VARIEDAD PARO CATEGORÍA SEGUNDA, TRIGO PELADO, MORÓN TOSTADO PARTIDO, HABA ENTERA SECA, QUINUA NATURAL, ARVEJA PARTIDA CALIDAD 2 SUPERIOR PARA EL PROGRAMA DE COMPLEMENTACIÓN ALIMENTARIA Y PANTBC DE LA MUNICIPALIDAD PROVINCIAL DE HUANCAYO PARA EL AÑO 2025",2025-05-16T00:00:00-05:00,2025-12-30T00:00:00-05:00,228,55201.06,PEN,Soles,2025-05-16T00:00:00-05:00,,,,
ocds-dgv273-seacev3-1118047,ocds-dgv273-seacev3-1118047-2025-05-27T17:25:44.709321-05:00,2326830,1118047-10200971391,35,"ADQUISICIÓN DE MAÍZ AMILÁCEO VARIEDAD PARO CATEGORÍA SEGUNDA, TRIGO PELADO, MORÓN TOSTADO PARTIDO, HABA ENTERA SECA, QUINUA NATURAL, ARVEJA PARTIDA CALIDAD 2 SUPERIOR PARA EL PROGRAMA DE COMPLEMENTACIÓN ALIMENTARIA Y PANTBC DE LA MUNICIPALIDAD PROVINCIAL DE HUANCAYO PARA EL AÑO 2025",2025-05-16T00:00:00-05:00,2025-11-28T00:00:00-05:00,196,55192.38,PEN,Soles,2025-05-16T00:00:00-05:00,,,,
ocds-dgv273-seacev3-1118047,ocds-dgv273-seacev3-1118047-2025-05-27T17:25:44.709321-05:00,2326818,1118047-10438033012,27,"ADQUISICIÓN DE MAÍZ AMILÁCEO VARIEDAD PARO CATEGORÍA SEGUNDA, TRIGO PELADO, MORÓN TOSTADO PARTIDO, HABA ENTERA SECA, QUINUA NATURAL, ARVEJA PARTIDA CALIDAD 2 SUPERIOR PARA EL PROGRAMA DE COMPLEMENTACIÓN ALIMENTARIA Y PANTBC DE LA MUNICIPALIDAD PROVINCIAL DE HUANCAYO PARA EL AÑO 2025",2025-05-16T00:00:00-05:00,2025-12-26T00:00:00-05:00,224,55201.06,PEN,Soles,2025-05-16T00:00:00-05:00,,,,
ocds-dgv273-seacev3-1118047,ocds-dgv273-seacev3-1118047-2025-05-27T17:25:44.709321-05:00,2326836,1118047-10206553915,41,"ADQUISICIÓN DE MAÍZ AMILÁCEO VARIEDAD PARO CATEGORÍA SEGUNDA, TRIGO PELADO, MORÓN TOSTADO PARTIDO, HABA ENTERA SECA, QUINUA NATURAL, ARVEJA PARTIDA CALIDAD 2 SUPERIOR PARA EL PROGRAMA DE COMPLEMENTACIÓN ALIMENTARIA Y PANTBC DE LA MUNICIPALIDAD PROVINCIAL DE HUANCAYO PARA EL AÑO 2025",2025-05-16T00:00:00-05:00,2025-11-28T00:00:00-05:00,196,38084.5,PEN,Soles,2025-05-16T00:00:00-05:00,,,,
ocds-dgv273-seacev3-1116196,ocds-dgv273-seacev3-1116196-2025-05-25T10:05:43.073461-05:00,2326620,1116196-20611555548,CONTRATO N° 056-2025-MDSAC/A,ADJUDICION SIMPLIFICADA N° 001-2025-MDSAC/CS-A (PRIMERA CONVOCATORIA ) CONTRATO ADQUISICION DE INSUMOS PARA EL PROGRAMA DE VASO DE LECHE CORRESPONDIENTE AL AÑO FISCAL 2025,2025-05-07T00:00:00-05:00,2025-12-05T00:00:00-05:00,212,66758.92,PEN,Soles,2025-05-07T00:00:00-05:00,,,,
ocds-dgv273-seacev3-1114478,ocds-dgv273-seacev3-1114478-2025-05-25T10:05:42.812280-05:00,2326778,1114478-10623839732,1742,"ADQUISICIÓN DE PERFIL DE FIERRO CUADRADO PARA ""MEJORAMIENTO Y AMPLIACION DEL SERVICIO EDUCATIVO DE NIVEL PRIMARIA, SECUNDARIA Y BASICA ALTERNATIVA DE LA I.E. LOS LIBERTADORES DISTRITO DE AYACUCHO ¿ PROVINCIA DE HUAMANGA ¿ DEPARTAMENTO DE AYACUCHO""",2025-05-10T00:00:00-05:00,2025-05-14T00:00:00-05:00,4,68850.0,PEN,Soles,2025-05-09T00:00:00-05:00,,,,
