Open Contracting ID,Entrega compilada:ID de Entrega,Entrega compilada:Contratos:ID del Contrato,Entrega compilada:Contratos:ID de Adjudicación,Entrega compilada:Contratos:Título del contrato,Entrega compilada:Contratos:Descripción del contrato,Entrega compilada:Contratos:Periodo:Fecha de inicio,Entrega compilada:Contratos:Periodo:Fecha de fin,Entrega compilada:Contratos:Periodo:Duración (días),Entrega compilada:Contratos:Valor:Monto,Entrega compilada:Contratos:Valor:Moneda,Entrega compilada:Contratos:Valor:Nombre de Moneda,Entrega compilada:Contratos:Fecha de firma,Entrega compilada:Contratos:Implementación:Valor final:Monto,Entrega compilada:Contratos:Implementación:Valor final:Moneda,Entrega compilada:Contratos:Implementación:Valor final:Nombre de Moneda,Entrega compilada:Contratos:Implementación:Fecha de fin
ocds-dgv273-seacev3-2025-10154-1,ocds-dgv273-seacev3-2025-10154-1-2026-06-01T10:02:50.014474-05:00,2325289,1091153-20513345748,06-2025,"CONTRATACIÓN DE SUMINISTRO DE BIENES ALIMENTO PARA ANIMALES EQUINOS Y CANES DE LAS REGIONES POLICIALES DE AREQUIPA, TACNA Y CENTRO REMONTA PNP-ITEM 03",2025-06-01T00:00:00-05:00,2026-05-31T00:00:00-05:00,364,171716.44,PEN,Soles,2025-05-16T00:00:00-05:00,219824.36,PEN,Soles,
ocds-dgv273-seacev3-2025-10154-1,ocds-dgv273-seacev3-2025-10154-1-2026-06-01T10:02:50.014474-05:00,2329595,1091153-20500333414,11-2025-UE 022 XI DIRTEPOL AREQUIPA,"CONTRATACIÓN DE SUMINISTRO DE BIENES ALIMENTO PARA ANIMALES EQUINOS Y CANES DE LAS REGIONES POLICIALES DE AREQUIPA, TACNA Y CENTRO REMONTA PNP ITEM 01 CONCENTRADO PARA EQUINOS",2025-06-25T00:00:00-05:00,2026-05-28T00:00:00-05:00,337,172845.75,PEN,Soles,2025-05-30T00:00:00-05:00,,,,
ocds-dgv273-seacev3-2025-10154-1,ocds-dgv273-seacev3-2025-10154-1-2026-06-01T10:02:50.014474-05:00,2329590,1091153-10733831630,10-2025-UE 022 XI DIRTEPOL AREQUIPA,"CONTRATACIÓN DE SUMINISTRO DE BIENES ALIMENTO PARA ANIMALES EQUINOS Y CANES DE LAS REGIONES POLICIALES DE AREQUIPA, TACNA Y CENTRO REMONTA PNP ITEM 02 HENO Y SAL DE PIEDRA",2025-06-25T00:00:00-05:00,2026-05-28T00:00:00-05:00,337,205724.22,PEN,Soles,2025-05-30T00:00:00-05:00,,,,
ocds-dgv273-seacev3-2025-10154-1,ocds-dgv273-seacev3-2025-10154-1-2026-06-01T10:02:50.014474-05:00,2329572,1091153-1675417,09-2025-UE 022 XI DIRTEPOL AREQUIPA,"CONTRATACIÓN DE SUMINISTRO DE BIENES ALIMENTO PARA ANIMALES EQUINOS Y CANES DE LAS REGIONES POLICIALES DE AREQUIPA, TACNA Y CENTRO REMONTA PNP ITEM 04 ALFALFA VERDE EN PAMPA",2025-07-01T00:00:00-05:00,2026-06-30T00:00:00-05:00,364,693158.0,PEN,Soles,2025-05-29T00:00:00-05:00,,,,
ocds-dgv273-seacev3-2025-2388-16,ocds-dgv273-seacev3-2025-2388-16-2026-05-31T10:14:57.045428-05:00,2321953,1091735-1649405,CONTRATO N° 12-2025-EPS SEDAM HUANCAYO S.A,"CONTRATACION DE CONSULTORIA DE SUPERVISION DE OBRA DEL PROYECTO: MEJORAMIENTO DEL SISTEMA DE AGUA POTABLE DE LA CIUDAD HUANCAYO- COMPONENTE I: CONSTRUCCION DE CAPTACION CHAMISERIA, ESTRCUTURA DE CONCRETO ARMADO Y EQUIPAMIENTO DE COMPUERTAS METALICAS PARA Q=300-1000 L/S CON CUI 2045299",2025-04-30T00:00:00-05:00,2025-10-30T00:00:00-05:00,183,134410.0,PEN,Soles,2025-04-21T00:00:00-05:00,,,,2025-12-16T00:00:00-05:00
ocds-dgv273-seacev3-2025-200537-17,ocds-dgv273-seacev3-2025-200537-17-2026-05-31T10:14:48.603915-05:00,2343400,1092163-20477233458,CONTRATO N° 169-2025-MINAM-VMGA-GICA,"EJECUCIÓN DE UNA OBRA (01) DE RECUPERACIÓN DE ÁREAS DEGRADADAS POR RESIDUOS SÓLIDOS EN EL SECTOR NUEVO SAN VICENTE DE CIENEGUILLO - PIEDRA RODADA, DISTRITO DE SULLANA, PROVINCIA DE SULLANA, DEPARTAMENTO DE PIURA",2025-08-20T00:00:00-05:00,2026-01-31T00:00:00-05:00,164,8150200.58,PEN,Soles,2025-08-19T00:00:00-05:00,8395879.41,PEN,Soles,
ocds-dgv273-seacev3-2025-1064-6,ocds-dgv273-seacev3-2025-1064-6-2026-05-31T10:14:37.872796-05:00,2314418,1088219-20601940605,01-2025-MDP/OGA/OACP,CONTRATACION DE SUMINISTRO DE BIENES PARA LA ADQUISICION DE COMBUSTIBLE PARA LAS UNIDADES VEHICULARES DE LA MUNICIPALIDAD DISTRITAL DE PARACAS AÑO2025,2025-03-14T00:00:00-05:00,2025-12-31T00:00:00-05:00,292,943552.7,PEN,Soles,2025-03-13T00:00:00-05:00,1365562.39,PEN,Soles,2026-02-27T00:00:00-05:00
ocds-dgv273-seacev3-2025-1933-7,ocds-dgv273-seacev3-2025-1933-7-2026-05-31T10:14:18.872659-05:00,2319955,1092914-20536593145,CONTRATO N°007-2025-SUNARP/ZRX/JEF,ADQUISICION DE UNIFORMES INSTITUCIONALES PARA DAMAS Y CABALLEROS VERANO E INVIERNO 2025 PARA EL PERSONAL DE LA ZONA REGISTRAL N°X SEDE CUSCO,2025-04-10T00:00:00-05:00,2025-06-08T00:00:00-05:00,59,134190.0,PEN,Soles,2025-04-09T00:00:00-05:00,,,,
ocds-dgv273-seacev3-1095653,ocds-dgv273-seacev3-1095653-2026-05-31T10:14:18.827572-05:00,2323798,1095653-1652485,025-2025-MPAA-GM-GAyF,CONTRATACIÓN DE LA EJECUCIÓN DE LA OBRA: ¿MEJORAMIENTO DEL SERVICIO DE MOVILIDAD URBANA EN CALLE TACNA CUADRAS Nº08 Y Nº09 DISTRITO DE YURIMAGUAS DE LA PROVINCIA DE ALTO AMAZONAS DEL DEPARTAMENTO DE LORETO¿ CUI Nº 2664713,2025-05-19T00:00:00-05:00,2025-09-15T00:00:00-05:00,119,2119928.0,PEN,Soles,2025-04-10T00:00:00-05:00,,,,
ocds-dgv273-seacev3-2025-951-3,ocds-dgv273-seacev3-2025-951-3-2026-05-30T10:23:08.315075-05:00,2318145,1091035-1648778,CONTRATO N° 002-2025-MDA/GM,"EJECUCION DE OBRA ""RENOVACION DE SISTEMA DE ABASTECIMIENTO DE AGUA POTABLE, RED DE ALCANTARILLADO, CONEXIONES DOMICILIARIAS DE AGUA POTABLE Y CONEXION DOMICILIARIA DE ALCANTARILLADO; EN EL(LA) JIRON WIRACOCHA, ATAHUALPA, CHAVÍN, AMAUTA Y JIRON RUPA RUPA EN EL CENTRO POBLADO PAUCARBAMBA, DISTRITO DE AMARILIS, PROVINCIA HUANUCO, DEPARTAMENTO HUANUCO""",2025-04-14T01:00:00-05:00,2025-07-31T01:00:00-05:00,108,2270000.0,PEN,Soles,2025-04-02T01:00:00-05:00,2489003.58,PEN,Soles,2026-02-27T01:00:00-05:00
