Open Contracting ID,Entrega compilada:ID de Entrega,Entrega compilada:Etiqueta de entrega,Entrega compilada:Fecha de entrega,Entrega compilada:Open Contracting ID,compiledRelease/publishedDate,Entrega compilada:Tipo de inicio,Entrega compilada:Comprador:ID de Organización,Entrega compilada:Comprador:Nombre de la Organización,Entrega compilada:Planeación:Presupuesto:Fuente del Presupuesto,Entrega compilada:Planeación:Presupuesto:Título del Proyecto,Entrega compilada:Planeación:Presupuesto:Identificador de proyecto,Entrega compilada:Planeación:Presupuesto:Monto:Monto,Entrega compilada:Planeación:Presupuesto:Monto:Moneda,Entrega compilada:Planeación:Presupuesto:Monto:Nombre de Moneda,Entrega compilada:Licitación:ID de licitación,Entrega compilada:Licitación:Título de la licitación,Entrega compilada:Licitación:Descripción de la licitación,Entrega compilada:Licitación:Entidad contratante:ID de Organización,Entrega compilada:Licitación:Entidad contratante:Nombre de la Organización,compiledRelease/tender/datePublished,Entrega compilada:Licitación:Método de contratación,Entrega compilada:Licitación:Detalles del método de contratación,Entrega compilada:Licitación:Categoría principal de contratación,Entrega compilada:Licitación:Categorías adicionales de contratación,Entrega compilada:Licitación:Valor:Monto,Entrega compilada:Licitación:Valor:Moneda,Entrega compilada:Licitación:Valor:Nombre de Moneda,compiledRelease/tender/value/amount_PEN,Entrega compilada:Licitación:Periodo de licitación:Fecha de inicio,Entrega compilada:Licitación:Periodo de licitación:Fecha de fin,Entrega compilada:Licitación:Periodo de consulta:Fecha de inicio,Entrega compilada:Licitación:Periodo de consulta:Fecha de fin,Entrega compilada:Licitación:Periodo de consulta:Duración (días),Entrega compilada:Licitación:Información Protegida,Entrega compilada:Licitación:Número de licitantes,Entrega compilada:Segmentación:ID,Entrega compilada:Segmentación:Criterio
ocds-dgv273-seacev3-2025-224-4,ocds-dgv273-seacev3-2025-224-4-2025-01-23T10:05:59.032782-05:00,compiled,2025-01-23T10:05:59.032770-05:00,ocds-dgv273-seacev3-2025-224-4,2025-01-23T10:05:59.032787-05:00,tender,PE-CONSUCODE-224,MUNICIPALIDAD DISTRITAL DE SAN MARCOS,Fondos Públicos,,,,,,1085728,LP-SM-1-2025-MDSM/CS-1,"ELABORACION Y EJECUCION DE LA OBRA: MEJORAMIENTO DEL SERVICIO DE MOVILIDAD URBANA EN 10 BARRIOS DE LA LOCALIDAD DE SAN MARCOS DEL , DISTRITO DE SAN MARCOS DE LA PROVINCIA DE HUARI DEL DEPARTAMENTO DE ANCASH, CON CUI N° 2671311.",PE-CONSUCODE-224,MUNICIPALIDAD DISTRITAL DE SAN MARCOS,2025-01-20T21:02:00-05:00,open,Licitación Pública,works,works,37255323.17,PEN,Soles,37255323.17,2025-01-20T00:00:00-05:00,2025-01-20T00:00:00-05:00,2025-01-21T00:01:00-05:00,2025-02-03T23:59:00-05:00,13,True,,2025-01,añoInicioConvocatoria;mesInicioConvocatoria
ocds-dgv273-seacev3-1085526,ocds-dgv273-seacev3-1085526-2025-01-23T10:05:57.680058-05:00,compiled,2025-01-23T10:05:57.680044-05:00,ocds-dgv273-seacev3-1085526,2025-01-23T10:05:57.680064-05:00,tender,PE-CONSUCODE-2433,PETROLEOS DEL PERU S.A.,Fondos Públicos,,,192574.77,PEN,Soles,1085526,ABR-PROC-67-2024-OLE / PETROPERU,SERVICIO DE FACILIDADES Y VIGILANCIA EN LA CONTINGENCIA AMBIENTAL DEL KM 323+744 DEL TRAMO II DEL ONP,PE-CONSUCODE-2433,PETROLEOS DEL PERU S.A.,2025-01-03T14:27:00-05:00,open,Adjudicación Abreviada,services,services,192574.77,PEN,Soles,0.0,,,,,,False,1,2025-01,añoPublicacionProceso;mesPublicacionProceso
ocds-dgv273-seacev3-1086236,ocds-dgv273-seacev3-1086236-2025-01-23T10:05:35.748692-05:00,compiled,2025-01-23T10:05:35.748679-05:00,ocds-dgv273-seacev3-1086236,2025-01-23T10:05:35.748698-05:00,tender,PE-CONSUCODE-1922,"SUPERINTENDENCIA DE BANCA, SEGUROS Y AFP",Fondos Públicos,,,18412.68,PEN,Soles,1086236,INTER-PROC-1-2025-SBS-1,CONTRATACIÓN DEL SERVICIO DE SUSCRIPCIÓN DEL SOFTWARE EZPROXY HOSTED,PE-CONSUCODE-1922,"SUPERINTENDENCIA DE BANCA, SEGUROS Y AFP",2025-01-20T16:35:00-05:00,open,Contratación Internacional,services,services,4884.0,USD,Dólar Norteamericano,18412.68,2025-01-09T00:00:00-05:00,2025-01-09T00:00:00-05:00,,,,False,1,2025-01,añoInicioConvocatoria;mesInicioConvocatoria
ocds-dgv273-seacev3-2025-1947-70,ocds-dgv273-seacev3-2025-1947-70-2025-01-23T10:05:34.992101-05:00,compiled,2025-01-23T10:05:34.992088-05:00,ocds-dgv273-seacev3-2025-1947-70,2025-01-23T10:05:34.992106-05:00,tender,PE-CONSUCODE-1947,COMISION DE PROMOCION DEL PERU PARA LA EXPORTACION Y EL TURISMO - PROMPERU,Fondos Públicos,,,565515.52625,PEN,Soles,1086275,INTER-PROC-5-2025-PROMPERU-1,SERVICIO DE PUBLICIDAD ONLINE ¿ SOJERN,PE-CONSUCODE-1947,COMISION DE PROMOCION DEL PERU PARA LA EXPORTACION Y EL TURISMO - PROMPERU,2025-01-20T17:53:00-05:00,open,Contratación Internacional,services,services,132346.25,EUR,Euro,565515.53,2025-01-20T00:00:00-05:00,2025-01-20T00:00:00-05:00,,,,False,1,2025-01,añoInicioConvocatoria;mesInicioConvocatoria
ocds-dgv273-seacev3-2025-802-1,ocds-dgv273-seacev3-2025-802-1-2025-01-23T10:05:34.697726-05:00,compiled,2025-01-23T10:05:34.697713-05:00,ocds-dgv273-seacev3-2025-802-1,2025-01-23T10:05:34.697732-05:00,tender,PE-CONSUCODE-802,MUNICIPALIDAD DISTRITAL DE LLUSCO,Fondos Públicos,"CONSTRUCCION DE ESPACIO DEPORTIVO CERRADO; EN EL(LA) IE JOSE CARLOS MARIATEGUI - LLUSCO EN LA LOCALIDAD LLUSCO, DISTRITO DE LLUSCO, PROVINCIA CHUMBIVILCAS, DEPARTAMENTO CUSCO",2545925,,,,1085848,AS-SM-1-2025-MDLL-1,"CONTRATACIÓN DEL SERVICIO DE FABRICACION, MONTAJE DE ESTRUCTURA METALICA CON COBERTURA A TODO COSTO PARA EL PROYECTO CONSTRUCCION DE ESPACIO DEPORTIVO CERRADO EN LA I.E. JOSE CARLOS MARIATEGUI - LLUSCO EN LA LOCALIDAD LLUSCO, DISTRITO DE LLUSCO - CHUMBIVILCAS",PE-CONSUCODE-802,MUNICIPALIDAD DISTRITAL DE LLUSCO,2025-01-13T19:33:00-05:00,open,Adjudicación Simplificada,services,services,0.0,PEN,Soles,0.0,2025-01-13T00:00:00-05:00,2025-01-13T00:00:00-05:00,2025-01-14T00:01:00-05:00,2025-01-16T23:59:00-05:00,2,True,,2025-01,añoInicioConvocatoria;mesInicioConvocatoria
ocds-dgv273-seacev3-1086047,ocds-dgv273-seacev3-1086047-2025-01-22T10:04:57.798955-05:00,compiled,2025-01-22T10:04:57.798941-05:00,ocds-dgv273-seacev3-1086047,2025-01-22T10:04:57.798960-05:00,tender,PE-CONSUCODE-1813,MUNICIPALIDAD PROVINCIAL DE PICOTA,Fondos Públicos,"MEJORAMIENTO DE LA INFRAESTRUCTURA VIAL URBANA DE LA AV. FERNANDO BELAUNDE TERRY, LAS URBANIZACIONES GONZALO VILLAVICENCIO AGUILAR Y LAS ALMENDRAS,  DISTRITO DE PICOTA - PROVINCIA DE PICOTA - DEPARTAMENTO DE SAN MARTIN",2466014,,,,1086047,AS-SM-5-2024-MPP/CS-2,"CONTRATACIÓN DEL SERVICIO DE CONSULTORIA DE OBRA PARA LA SUPERVISION DE LA EJECUCIÓN DE LA OBRA: ¿MEJORAMIENTO DE LA INFRAESTRUCTURA VIAL DE LA AV. FERNANDO BELAUNDE TERRY, LAS URBANIZACIONES GONZALO VILLAVICENCIO AGUILAR Y LAS ALMENDRAS ¿ DISTRITO DE PICOTA, PROVINCIA DE PICOTA, DEPARTAMENTO DE SAN MARTIN",PE-CONSUCODE-1813,MUNICIPALIDAD PROVINCIAL DE PICOTA,2025-01-16T17:04:00-05:00,open,Adjudicación Simplificada,services,services,336375.44,PEN,Soles,336375.44,2025-01-16T00:00:00-05:00,2025-01-16T00:00:00-05:00,2025-01-17T00:01:00-05:00,2025-01-20T23:59:00-05:00,3,True,,2025-01,añoInicioConvocatoria;mesInicioConvocatoria
ocds-dgv273-seacev3-2025-1302-1,ocds-dgv273-seacev3-2025-1302-1-2025-01-22T10:04:57.263518-05:00,compiled,2025-01-22T10:04:57.263505-05:00,ocds-dgv273-seacev3-2025-1302-1,2025-01-22T10:04:57.263524-05:00,tender,PE-CONSUCODE-1302,MUNICIPALIDAD DISTRITAL DE OLMOS,Fondos Públicos,MEJORAMIENTO DEL ESTADIO MUNICIPAL EN EL CENTRO POBLADO INSCULAS-  DISTRITO DE OLMOS - PROVINCIA DE LAMBAYEQUE - DEPARTAMENTO DE LAMBAYEQUE,2569656,,,,1085780,AS-SM-15-2024-MDO/CS-2,EJECUCION DE LA OBRA : MEJORAMIENTO DEL ESTADIO MUNICIPAL EN EL CENTRO POBLADO INSCULAS- DISTRITO DE OLMOS- PROVINCIA DE LAMBAYE-QUE - DEPARTAMENTO DE LAMBAYEQUE (I ETAPA) CUI N° 2569656,PE-CONSUCODE-1302,MUNICIPALIDAD DISTRITAL DE OLMOS,2025-01-10T19:42:00-05:00,open,Adjudicación Simplificada,works,works,577777.48,PEN,Soles,577777.48,2025-01-10T00:00:00-05:00,2025-01-10T00:00:00-05:00,2025-01-11T00:01:00-05:00,2025-01-15T23:59:00-05:00,4,True,,2025-01,añoInicioConvocatoria;mesInicioConvocatoria
ocds-dgv273-seacev3-1085983,ocds-dgv273-seacev3-1085983-2025-01-22T10:04:46.243231-05:00,compiled,2025-01-22T10:04:46.243217-05:00,ocds-dgv273-seacev3-1085983,2025-01-22T10:04:46.243237-05:00,tender,PE-CONSUCODE-1998,SUPERINTENDENCIA DEL MERCADO DE VALORES,Fondos Públicos,,,321221.0,PEN,Soles,1085983,DIRECTA-PROC-3-2025-SMV-1,Servicio de soporte y mantenimiento de software TeamMate+,PE-CONSUCODE-1998,SUPERINTENDENCIA DEL MERCADO DE VALORES,2025-01-15T17:49:00-05:00,direct,Contratación Directa,services,services,79146.63,USD,Dólar Norteamericano,321177.02,,,,,,False,1,2025-01,añoPublicacionProceso;mesPublicacionProceso
ocds-dgv273-seacev3-1085866,ocds-dgv273-seacev3-1085866-2025-01-21T10:00:53.265277-05:00,compiled,2025-01-21T10:00:53.265263-05:00,ocds-dgv273-seacev3-1085866,2025-01-21T10:00:53.265282-05:00,tender,PE-CONSUCODE-273,MUNICIPALIDAD DISTRITAL DE MORO,Fondos Públicos,"CREACION DEL SERVICIO DE TRANSITABILIDAD VEHICULAR, PEATONAL Y MUROS DE CONTENCION EN EL CASERIO DE VIRAHUANCA DEL DISTRITO DE MORO - PROVINCIA DE SANTA - DEPARTAMENTO DE ANCASH",2549986,,,,1085866,AS-SM-17-2024-MDM/CS-2,"CONTRATACION DE LA SUPERVISION DE OBRA: ¿CREACION DEL SERVICIO DE TRANSITABILIDAD VEHICULAR, PEATONAL Y MUROS DE CONTENCION EN EL CASERION DE VIRAHUANCA - DISTRITO DE MORO ¿ PROVINCIA DE SANTA ¿ DEPARTAMENTO DE ÁNCASH",PE-CONSUCODE-273,MUNICIPALIDAD DISTRITAL DE MORO,2025-01-14T16:02:00-05:00,open,Adjudicación Simplificada,services,services,345496.7,PEN,Soles,345496.7,2025-01-14T00:00:00-05:00,2025-01-14T00:00:00-05:00,2025-01-15T00:01:00-05:00,2025-01-16T23:59:00-05:00,1,True,,2025-01,añoInicioConvocatoria;mesInicioConvocatoria
ocds-dgv273-seacev3-1086097,ocds-dgv273-seacev3-1086097-2025-01-21T10:00:45.188218-05:00,compiled,2025-01-21T10:00:45.188205-05:00,ocds-dgv273-seacev3-1086097,2025-01-21T10:00:45.188223-05:00,tender,PE-CONSUCODE-1308,MUNICIPALIDAD DISTRITAL DE ANCON,Fondos Públicos,,,,,,1086097,DIRECTA-PROC-2-2024-OEC/MDA-1,ADQUISICION DE 04 CUATRO CAMIONETAS POR SITUACION DE EMERGENCIA,PE-CONSUCODE-1308,MUNICIPALIDAD DISTRITAL DE ANCON,2025-01-20T23:10:00-05:00,direct,Contratación Directa,goods,goods,0.0,PEN,Soles,0.0,,,,,,True,,2025-01,añoPublicacionProceso;mesPublicacionProceso
